scientific_name,common_name,impact_country,impact_region,impact_mechanism,impact_category,category_evidence,confidence_rating,confidence_justification,impact_details,impact_species,notes,reference,file_name
Acacia mearnsii,Black wattle,South Africa,Eastern Cape,(11) Structural Impact on ecosystem,MC - Minimal concern,"ANOVA test showed no significant differences (p > 0.05) in species richness and abundance across sites for soil surface-dwelling invertebrates. Bray-Curtis similarity measures in PRIMER and correspondence analysis
(CA) in CANOCO showed that sampling units with alien invasive plants shared most soil surface-dwelling invertebrate species at ± 75% level of similarity. Sampling unit A from the Mix alien (MA) site shared most species with indigenous vegetation sites. Sampling units from indigenous vegetation sites shared most species at ± 65% level of similarity.",Low,"Does not specify if decline took place under Acacia. Discusses other eucalypt impacts. Invertebrates were collected using
pitfall traps, during 12 sampling occasions from May 2010 to April 2011 numbers of
sampling sites. Although the sampling method was adapted to collecting ground
dwelling invertebrates, opportunistic flying invertebrates were also collected.","Multivariate analysis using CANOCO indicated that certain site variables such litter depth
influenced the distribution of soil surface-dwelling invertebrates across sites.","Anoplolepsis custodiens ; Carebara vidua ; Technomyrmex sp, Messor capensis ; Pheidole sp. , Polyrhachis gagates , Streblognathus aethiopicus ; Tetraponera sp. , Camponotus sp. ; Bantua sp. , Deropeltis erythrocephala ; Anachalcos convexus , Aphodius sp. ; Hopliini sp. ; Diplognatha gagates ; Kheper nigroaenus ; Anisonyx ditus; Sisyphus sp. ; Gymnopleurus sp. ; Hydrophilus sp. ; Plagiodera coffra ; Sagra sp. ; Sonchia sternalis ; Psammodes bertolonii ; Pachyphaleria capensis ; Cyclosa sp. ; Afropisaura sp. ; Thalassius sp. ; Cheiracanthium lawrencei ; Cheiracanthium furculatum ; Dysdera crocata ; Hyllus argyrotoxus ; Thyene sp. ; Langona warchalowskii ; Evarcha dotata ; Evarcha sp.; Thyenula juvenca ; Thyenula aurantiaca; Pardosa crassipalpis ; Pardosa sp.; Hogna sp. 1 ; Zelotes uquathus ; Xerophaeus crustosus ; Clubiona sp. ; Steatoda capensis; Theridion sp. ; Dresserus sp. ; Xysticus sp. ; Vallonia sp.  Flying insect species: Microdon testaceus; Allograpta fuscotibialis; Damalis heterocera; Ochthera, Homoneura; Lucillia; Stomoxy calcitrans; Rhyncomyia; Acraea horta; Leucochitonea levubu; Ancylotrypha; Cacyreus marshali; Chrysoritis; Ornipholidotos peucetia; Chiasmia simplicilinea; Zerenopsis lepida; Thyretes coffra; Oedaleus; Nomadacris; Eyprepocnemis plorans; Brachytrupes membranaceus; Proctarrelabis capensis; Cimex lectulerius; Coridius nubilis; Dipseudopsis; Bathyaulax; Hylaeus heraldicus; Bembix; Philanthus triangulum; Dasyproctus bipunctatus; Megachile chrysorrhoea; Thyreus delumbatus; Ammophila ferruginapes; Chalybion tibiale; Chalybion sp.",NA,"Yekwayo I (2012) Response of Invertebrates to Alian and Indigenous Vegetation Characteristics in Nduli and Luchaba Nature Reserve, Eastern Cape, South Africa. PHD Thesis. Walter Sisulu University. https://core.ac.uk/download/pdf/145035547.pdf",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,Algeria,El Kala National Park,(9) Chemical Impact on ecosystem,MN - Minor,"The results show a negative effect of acacia on cork oak growth, depending on the soil type, but no difference according to the conditions of mono- or co-cultivation.",Low,"No access to paper. Studied the effect of the A. mearnsii and Q. suber in mono- and co-culture conditions in soils collected from non-invaded sites, recently invaded or completely invaded and analyze its effect on the Quercus growth and arbuscular mycorrhizal (AM) of the two plants in controlled conditions.",NA,Quercus suber L.,No access,"Boudiaf I, Beddiar A, Roux CL, Prin Y, Duponnois R (2014) Invasion of a natural Quercus suber stand in Algeria by Acacia mearnsii originating from Australia. Invasion of a natural Quercus suber stand in Algeria by Acacia mearnsii originating from Australia 101: 11-14. https://www.cabdirect.org/cabdirect/abstract/20143320342",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,South Africa,Mpumalanga and KwaZulu-Natal Provinces,(9) Chemical Impact on ecosystem,MC - Minimal concern,"The total number of isolates of each species differed significantly (P < 0.05) across vegetation types (plantations of E. grandis, A. mearnsii and natural forest). Most of the isolates were recovered from plantations of non-native A. mearnsii, followed by natural forest and lastly plantations of non-native E. grandis. When the five Phytophthora species were taken into consideration separately there was no significant difference across the vegetation types. The majority of the Phytophthora species from natural forests were also recovered from the adjacent plantations of non-native E. grandis and A. mearnsii. Both plantations of non-native trees and natural forests had exclusive Phytophthora species. However, the natural forests had greater numbers of exclusive Phytophthora species than the plantations.",Low,"Sometimes Acacia increases isolates, sometimes no significant effect. Don’t know which is native or invasive: The known Phytophthora diversity in South Africa, including those revealed in this study, most likely includes both native and introduced species.","Moreover,Phytophthoraspecies rich-ness was influence by site not by vegetation type (P<0.05 andP>0.05, respectively). The greatest species richness was recordedfrom the native natural forests at Melmoth where 27 species weredetected.","Phytophthora frigida
Phytophthora alticola
Phytophthora parvispora †
Phytophthora niederhauserii
Phytophthora RSA5A**
Phytophthora RSA7A**
Phytophthora RSA1A**
Phytophthora litchii †
Phytophthora AUS2A †
Phytophthora capensis 
Phytophthora multivora
Phytophthora cinnamomi
Phytophthora pseudocryptogea † 
Phytophthora RSA3A**
Phytophthora ‘kelmania’ †
Phytophthora RSA2A**
Phytophthora humicola †
Phytophthora aff. meadii †
Phytophthora cryptogea
Phytophthora plurivora complex
Phytophthora nicotianeae
Phytophthora ‘hennops’
Phytophthora gondwanense †
Phytophthora asparagi †
Phytophthora elongata †
Phytophthora gregata complex †
Phytophthora RSA10A**
Phytophthora citricola
Phytophthora AUS9A †
Phytophthora palmivora
Phytophthora inundata †
Phytophthora cambivora †","Species richness found to be linked to site, not vegetation thus not considered.","Bose T, Wingfield MJ, Roux J, Vivas M, Burgess TI (2018) Community composition and distribution of Phytophthora species across adjacent native and non-native forests of South Africa. Fungal Ecology 36: 17-25. https://doi.org/10.1016/j.funeco.2018.09.001",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,South Africa,KwaZulu-Natal,(9) Chemical Impact on ecosystem,DD - Data deficient,"The total accumulated sap flow per year for the three individual A. mearnsii and E. grandis trees was 6548 and 7405 L a−1 respectively. In contrast, the indigenous species averaged 2934 L a−1 , clearly demonstrating the higher water use of the introduced species. After spatial upscaling, it was concluded that, at the current state of invasion (21 % of the stand being alien species), the stand used 40 % more water per unit area than if the stand were in a pristine state.",NA,NA,NA,NA,No impact measured on native species,"Scott-Shaw BC, Everson CS (2019) Water-use dynamics of an alien-invaded riparian forest within the summer rainfall zone of South Africa. Hydrology and Earth System Sciences 23: 1553-1565. https://doi.org/10.5194/hess-23-1553-2019",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,South Africa,Eastern Cape,(9) Chemical Impact on ecosystem,MR - Major,"The invasion and clearing of Acacia mearnsii led to an increase in soil nutrients, especially nitrogen, phosphorus, potassium, carbon and manganese. Furthermore, soils became more acidic, with increased water repellency and reduced surface hardness. The vegetation changed to a treedominated structure, replacing the native species. Native plant germination was relatively unaffected by invasion and clearing, with an increase in germination just after clearing. This study showed that soil movement increased on slopes which are invaded and cleared of Acacia mearnsii, with erosion rates doubling on invaded slopes.",High,"Pristine, invaded and cleared areas looked at.","Plant growth of a native grass, Themeda triandra, and herb, Helichrysum umbraculigerum, has
increased on soils from cleared slopes. A. mearnsii trees form a dense
canopy that reduces light, and use large amounts of water. This places more stress on fynbos, a
smaller growth form, and leads to a decrease in fynbos species and abundance (Didham et al.,
2005).",appendix 3,"The difference in species richness decreased from 65 percent for
recently cleared sites to 40 percent for sites cleared for the longest time (Table 4.16 – 4.19), therefore reversible.","Van der Waal BW (2009) The influence of Acacia mearnsii invasion on soil properties in the Kouga Mountains, Eastern Cape, South Africa. PHD Thesis. Rhodes University. https://core.ac.uk/download/pdf/145046448.pdf",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,South Africa,Eastern Cape,(1) Competition,MR - Major,"The invasion significantly decreased the cover of all other fynbos growth forms such as shrubs, woody herbs, forbs, grasses, restios, sedges and geophytes. Plant species richness decreased on all slopes invaded by A. mearnsii and is a result of the highly competitive advantage of the trees that led to a degraded native vegetation composition.",Medium,"Pristine, invaded and cleared areas looked at.",NA,NA,NA,"Van der Waal BW (2009) The influence of Acacia mearnsii invasion on soil properties in the Kouga Mountains, Eastern Cape, South Africa. PHD Thesis. Rhodes University. https://core.ac.uk/download/pdf/145046448.pdf",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,Algeria,El Kala National Park,(9) Chemical Impact on ecosystem,MC - Minimal concern,"Our results showed that soil microbial activity was modified according to the duration of acacia growth, but we did not detect any effects of impacted soils on cork oak plant growth.",Low,"No access. The analysis of abundance and diversity of symbiotic microflora was
carried out by comparing a non-invaded forest soil with a cork oak forest soil totally invaded
by A. mearnsii.  A. mearnsii seedlings were grown in the greenhouse on pure cork oak forest
soil for 6 and 12 months, and then replaced by cork oak seedlings.",NA,Quercus suber L.,No access- can only find abstract,"Boudiaf I, Le Roux C, Beddiar A, Prin Y, Duponnois R (2014) Interactions between soil microorganisms and the invasive species Acacia mearnsii De Wild. in the north-eastern Algeria. EWRS. https://agritrop.cirad.fr/579720/1/579720.pdf",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,Algeria,El Kala National Park,(6) Poisoning/ toxicity,MN - Minor,"The primary results show a remarkable negative effect of aqueous extracts (A. mearnsii leaves, E. camaldulensis leaves and litter) on the root's growth of the cork oak seedlings as well as the ectomycorrhizal (ECM): Control of cork oak represented by 47.8% mycorrhizal rate compared with eucalyptus with 1.4% followed by litter and acacia, respectively, with 1.6% and 5.4% mycorhization rate.",Low,"No access. Not tested on natural populations? The allelopathic potential of different concentrations of solution extracts of the leaves, pods, and litter of A. mearnsii and E. camaldulensis leaves was tested on the growth of Q. suber (L.).",NA,Quercus suber L.,No access- can only find abstract,"Boudiaf I, Souelmi M, Beddiar A (2017) Research of an allelopathic effect of Acacia mearnsii (De Wild.) and Eucalyptus camaldulensis (Dehn) on the growth of Quercus suber (L.). Research of an allelopathic effect of Acacia mearnsii (De Wild.) and Eucalyptus camaldulensis (Dehn) on the growth of Quercus suber (L.). 127: 156-164. https://www.cabdirect.org/cabdirect/abstract/20193234973",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,South Africa,"Limpopo, Zvakanaka farm",(9) Chemical Impact on ecosystem,MR - Major,"Results of the study show significantly (P < 0.001) higher soil moisture content in invaded and natural compared to cleared sites. Soil penetration was significantly (P < 0.001) higher in cleared than invaded and natural sites. Both infiltration rate and hydraulic conductivity showed no significant (P > 0.05) difference between the three sites. Strongly repellent soils were recorded in cleared sites only. Results showed a significant (P < 0.05) increase in measured diversity indices (species richness, Shannon-Wiener, Simpson’s and evenness index) in cleared and natural than in invaded sites. However, most secondary woody invasive alien plants were recorded in cleared sites. Species richness showed significant (P < 0.001) differences between all the three sites (Table 3). Higher species richness was recorded in cleared sites compared to natural and invaded sites. Comparisons on species richness per growth form showed significant (P < 0.05) differences between all three sites for all the growth forms (Table 3). Trees, shrubs and herbs were higher in cleared and natural sites compared to invaded sites, whereas grasses were higher in cleared sites than in natural and invaded sites. Both Shannon-Wiener and Simpson’s index of diversity were significantly (P < 0.01) higher in cleared and natural sites compared to invaded sites (Table 3). Evenness index showed no significant (P > 0.05) differences between all the three sites",High,"pristine, invaded and cleared areas looked at. the three invasion conditions comprised
two cleared sites where A. mearnsii was removed in 2016, two invaded sites where A.
mearnsii dominate (canopy cover above 60%), and two natural sites where stands of
native species dominate (canopy cover above 60%).",Invaded regions had lowest species richness for all plant types.,"Brachylaena discolor, Conostomium natalense, Rhus pentheri, Nuxia floribunda, Vernonia spp., Carissa edulis, Lantana camara, Caesalpinia decapetala, Acacia mearnsii, Eucalyptus spp., Athrixia phylicoides, Asparagus spp., Vachellia karroo, Psidium guajava, Landolphia kirkii, Euclea natalensis, Lippia javanica, Combretum kraussii, Ziziphus mucronata, Zanthoxylum capense, Nerium oleander, Asparagus falcatus, Diospyros lycioides, Jacaranda spp., Dombeya rotundifolia, Solanum mauritianum, Rubus rigidus, Herbs, Bidens pilosa, Felicia sp., Dicoma anomala, Tylophora sp., Vernonia natalensis, Ipomoea sp., Grasses, Panicum maximum, Cyperus spp., Setaria sphacelata, Urochloa spp., Cyperus rotundus, Cynadon dactylon, Themeda triandra, Eragrostis spp., Aristida transvaalensis",NA,"Ruwanza S, Tshililo K (2019) Short term soil and vegetation recovery after Acacia mearnsii removal in Vhembe Biosphere Reserve, South Africa. Applied Ecology and Environmental Research 17: 1705-1716. http://dx.doi.org/10.15666/aeer/1702_17051716",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,South Africa,"Rondegat River, Cederberg mountains",(11) Structural Impact on ecosystem,MO - Moderate,"Invertebrate assemblages were sensitive to invasion from bass and/or wattle: in the presence of A. mearnsii the abundance of some cobble-dwelling taxa were reduced, while those of particle-feeding mayflies and chironomids increased, reflecting increased leaf litter and sediment produced by acacias. Sites with invasive trees showed a reduction in alga-grazing Elmidae and Heptageniidae (but, paradoxically, not Limnichidae) and an increase in particlefeeding Leptophlebiidae and Caenidae. Invertebrate assemblages were sensitive to invasion from bass and/or wattle: in the presence of A. mearnsii the abundance of some cobble-dwelling taxa were reduced, while those of particle-feeding mayflies and chironomids increased, reflecting increased leaf litter and sediment produced by acacias.",High,sampling from sites representing four invasion conditions: no invasion; invasive trees; invasive fish; invasive trees and fish,NA,"Chironomidae, Simuliidae, Athericidae, Culicidae, Blephariceridae, Dixidae, Ceratopogonidae, Empididae, Tabanidae, Tipulidae, Muscidae,
Baetidae (large), Caenidae, Baetidae (small), Leptophlebidae,
Heptagenidae, Teloganodidae, Gomphidae (small),
Zygoptera (small), Aeshnidae (small), Libellulidae (small), Zygoptera (large),
Gomphidae (large), Libellulidae (large), Aeshnidae (large), C. afra,
Athripsodini, Hydroptilidae, Leptecho helicotheca,
Oecetis,
Ecnomidae, Philopotamidae, Macrostemum, Sericostomatidae,
Polycentropodidae, Leptoceridae sp., Glossosomatidae,
Parecnomina, Petrothrincidae,
Elmidae (larvae), Elmidae (adult), Limnichidae,
Hydrophilidae, Helodidae, Gyrinidae (larvae),
Dytiscidae (larvae), Gyrinidae (adult), Dytiscidae (adult), Hydraenidae,
Veliidae, Naucoridae, Corixidae,  Noto/Nepidae, Mesoveliidae,
Gerridae/Saldidae, Oligochaeta, Hydrachnellae,
Megaloptera, Lepidoptera, Plecoptera",NA,"Lowe SR, Woodford DJ, Impson DN, Day JA (2008) The impact of invasive fish and invasive riparian plants on the invertebrate fauna of the Rondegat River, Cape Floristic Region, South Africa. African Journal of Aquatic Science 33: 51-62. https://doi.org/10.2989/AJAS.2007.33.1.6.390",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia mearnsii,Black wattle,South Africa,"Study sites were along five rivers (Molenaars, Holsloot,Rondegat, Witte, and Dwars)",(10) Physical Impact on ecosystem,MR - Major,"The main species differences between natural andcleared sites were for the endemics A. leucosticta, P. furcigerum, A. subpupillata,andE. frenulata (7.24%dissimilarity). Distinguishing species in natural and aliensites included A. leucosticta, E. frenulata, T. furva/T.dorsalis,andA. subpupillata (10.33% dissimilarity). Distinguishing species for cleared and alien sites were T.furva/T. dorsalis, P. furcigerum, E. frenulata,andO. ju-lia capicola (9.29% dissimilarity). Natural sites had many abundant endemic species(Table 2). In contrast, in cleared sites about half the species (80% of abundance in the SIMPER analysis) wereendemic and half widespread (Table 2). Dense alien siteshad only two species, Chlorolestes umbratus and O. j.capicola, both localized endemics. Alien sites had signif-icantly lower mean species richness and average taxo-nomic distinctness than either cleared or natural sites.Widespread, eurytopicP. kersteni was the only species that had its highest inci-dence in alien sites. The widespread and common speciesTrithemis stictica was absent from alien sites.",High,"Invaded, uninvaded and cleared area studied. Signs of recovery of natives, thus MR","High abundance and species richness in cleared sitessuggest postclearing recovery. Natural and cleared siteswere more similar to each other than to alien sites. Mean abundance, species richness, and average taxo-nomic distinctiveness all differed significantly (p < 0.001)for natural, cleared, and alien sites (Table 1). The MDS or-dination of sites on species showed grouping accordingto disturbance regime, with the exception of one aliensite (Fig. 1a). There was similarity between cleared andnatural sites and dissimilarity between dense alien sitesand all other sites. P. furcigerum, which is also stenotopic, abundant,and easy to identify, is a potential detector species innear-natural sites with extensive Prionium.Becauseitdecreases when the reed is shaded out by alien trees, thisspecies is useful for monitoring early stages of clearing,although A. leucosticta would be more useful for detect-ing recovery of fauna once indigenous trees establish. Because dense alien siteswere all highly shaded, with very little (or no) understoryvegetation, these sites had the lowest abundance andspecies richness. Thus, even partial clearing can initiaterecovery.","Pseudagrion kersteni, Pseudagrion furcigerum, Elattoneura frenulata, Chlorolestes umbratus, Allocnemis leucosticta, Elattoneura glauca, Pseudagrion draconis, Platycypha fitzsimonsi, Ischnura senagalensis, Ceriagrion glabrum, Trithemis furva/Trithemisdorsalis, Aeshna subpupillata, Orthetrum julia capicola, Anax speratus, Trithemis arteriosa, Paragomphus cognatus, Crocothemis sanguinolenta, Zygonyx natalensis, Anax imperator mauritianus, Trithemis stictica, Tramea limbata, Palpopleura jucunda, Ceratogomphus pictus",NA,"Samways MJ, Sharratt NJ (2010) Recovery of endemic dragonflies after removal of invasive alien trees. Conservation Biology 24: 267-277. https://doi.org/10.1111/j.1523-1739.2009.01427.x",EICAT_Acacia mearnsii_02112021_IUCN_accept.xlsx
Acacia pycnantha,Golden wattle,Italy,"Elba Island, central Mediterranean Sea",(6) Poisoning/ toxicity,MR - Major,"The understorey plant community was highly affected starting from the intermediate stage of invasion. Species richness, diversity and total cover were all lower in invaded than in non-invaded plots, with a transition generally in the middle. In addition, plant community composition severely changed along the invasion gradient. According to our findings, A. pycnantha exerted detrimental impacts on the native vegetation, mainly causing a severe species loss in the understorey assemblage and the impoverishment of the invaded ecosystems. Species richness, diversity and total cover were all lower in invaded than in non-invaded plots, with transition generally in the middle. Moreover, plant community composition severely changed along the invasion gradient. Many of the species vanished from the invaded status are represented by the saplings of typical Mediteranean shrubs, such as Erica arborea, Cistus monspeliensis, Cytisus villosus, Cistus salviifolius and Pistacia lentiscus, whose abundance gradually decrease from non-invaded to transitional plots.",Low,"Studied invaded, transition and non-invaded areas.","Litter accumulation could play a role, acting as source of organic nitrogen and leading to accumulation of allelochemical compunds in soil.","Erica arborea, Calicotome villosa, Quercus ilex, Anagallis arvensis L., Arisarum vulgare O.Targ. Tozz.,  Asparagus acutifolius L., Asphodelus ramosus L., Avena fatua L., Brachypodium distachyon (L.) P.Beauv., Brachypodium retusum (Pers.) P.Beauv.,  Briza maxima L., Bromus madritensis L., Carex distachya Desf., Centaurium maritimum (L.) Fritsch, Cistus monspeliensis L.,
 Cistus salviifolius L., Convolvulus althaeoides L., Cynosurus echinatus L., Cytisus villosus Pourr., Dactylis glomerata L.,  Vicia disperma DC.,
 Vicia hirsuta (L.) Gray,
 Vicia lathyroides L., Vicia sativa L.,
 Vicia tetrasperma (L.) Schreb.,
 Vulpia bromoides (L.) Gray 
 Daphne gnidium L., Daucus carota L., Dioscorea communis (L.) & Wilkin, Erica arborea L., Erigeron sumatrensis Retz., Euphorbia peplus L., Fumaria capreolata L., Galactites tomentosa Moench, Galium divaricatum Pourr., Geranium robertianum L., Hypochaeris achyrophorus L., Lathyrus angulatus L., Lavandula stoechas L., Lotus parviflorus Desf., Melica uniflora Retz., Misopates orontium (L.) Raf., Omithopus compressus L., Pistacia lentiscus L., Prasium majus L., Pulicaria odora (L.) Rchb., Rhamnus alaternus L., Rubia peregrina L., Rubus ulmifolius Schott, Scorpiurus muricatus L., Senecio lividus L., Sherardia arvensis L., Silene gallica L., Sonchus oleraceus (L.) L., Stellaria media (L.) Vill., Trifolium campestre Schreb.,  Trifolium nigrescens Viv., Trifolium scabrum L., Tuberaria guttata (L.) Fouir.",Not found in IUCN Red List. Article inferred certain mechanisms.,"Lazzaro L, Giuliani C, Benesperi R, Calamassi R, Foggi B (2015) Plant species loss and community nestedness after leguminous tree Acacia pycnantha invasion in a Mediterranean ecosystem. Folia Geobotanica 50: 229-238. https://doi.org/10.1007/s12224-015-9222-z",EICAT_Acacia pycnantha_30072022_IUCN_accept.xlsx
Acacia auriculiformis,NA,Bangladesh,Cox’s Bazar,(1) Competition,MR - Major,"The 4 important diversity indices i.e. Shannon-Wiener diversity index, Simpson’s dominance index, Margalef’s Richness and Pielou’s Evenness index indicate poor regenerating plant diversity in all the study sites though ANOVA and DMRT indicated significantly higher Shannon-Wiener diversity index in degraded natural forests in comparison to plantations. But Species Evenness Index was significantly higher in 2.5 years old plantations than that of other study sites (Table 2). The diversity indices indicate that species diversity is significantly higher in degraded natural forest than in the plantations. Though, species richness is higher in degraded natural forests, as indicated by Margalef’s richness index, it is not significantly different than other. Rahman et al. (2011) reported much higher diversity indices for regeneration in two protected areas of Northeastern Bangladesh (Shannon-Wiener index 3.62, richness index 4.92, evenness index 2.26, dominance index 0.03).",Low,"Weeding in plantations was done, which could contribute to the patterns found.",NA,NA,NA,"Bhuiyan, M.K.A., Hossain, M.A., Kamal, A.K.I., Hossain, M.K., Jashimuddin, M. and Uddin, M.K., 2019. Climate resilience through natural regeneration in degraded natural forests of south-eastern hilly region of Bangladesh. Bangladesh Journal of Botany, 48(3), pp.417-425.",EICAT_Acacia_auriculiformis_211122_IUCN_accept.xlsx
Acacia auriculiformis,NA,"China
",Nan'ao Island,(1) Competition,MC - Minimal concern,"Three plant communities (a degraded hilly land, an artificial Acada plantation and a secondary forest) representing three restoration phases were used on Nan'ao Island in south China. Seedlings of the exotic Acada auriculiformis and the native Schima superba were transplanted into each community. Leaf area index, litter stock, soil moisture and soil fertility were higher in the Acada plantation and secondary forest than in the degraded hilly land. However, light transmission was much greater in the degraded hilly land than in the other two communities. Survival and growth of A. auriculiformis were greatest in the degraded hilly land but survival and growth of 5. superba were greatest in the Acada plantation. Growth responses of the transplanted seedlings were related to soil water content and light transmission rate. To accelerate the vegetation restoration of the islands, the existing secondary forest should be protected and the plantations should be improved by introducing native tree seedlings. As a possible two-stage restoration scheme, Acada could be planted in degraded hilly land to serve as nurse plant for S. superba.",Low,"Only one species looked at, studied survival after transplantation into different communities.",NA,Schima superba,Native comunity not studied,"Li, P., Huang, Z.L., Xiang, Y.C. and Ren, H., 2011. Survival, growth and biomass of acacia auriculiformis and schima superba seedlings in different forest restoration phases in Nan'ao Island, South China. Journal of Tropical Forest Science, pp.177-186.",EICAT_Acacia_auriculiformis_211122_IUCN_accept.xlsx
Acacia auriculiformis,NA,Brazil,Espı´rito Santo and Bahia,(1) Competition,MO - Moderate,"With respect to the hypotheses described at the beginning of this study, we found that (1) Acacia has a negative effect on woody species composition, causing death of plants, and on increment in total height and total basal area of the invaded Mussununga; (2) disturbance and land-use change affect diversity and structure of the vegetation; and (3) the ground layer community was not affected by Acacia, while biological invasion seems to be the main driver in the woody layer. [...] The negative relation of A. mangium and A. auriculiformis on the woody layer community in Mussununga is in agreement with other studies that evaluated different species of acacias (e.g., Costello et al. 2000; Marchante et al. 2003; Rascher et al. 2011) and corroborates that Acacia dominance is a key factor in the destruction of the Mussununga ecosystem (Meira-Neto et al. 2017). The effect of Acacia invasion on the woody community suggests a replacement of species, caused mainly by Acacia and the death of native woody plants (see Fig. 1). That is a concern since the plant species in Mussununga are adapted to very specific environmental conditions with a combination of flooding and drought and nutrient-poor sandy soil (Meira-Neto et al. 2005; Saporetti-Junior et al. 2012; Gastauer et al. 2017). However, the positive relationship of the basal area of Acacia with abundance and basal area of native woody species challenges our previous expectations. Although the process of (re-)cover after disturbance is a parsimonious interpretation (see below ‘‘Threats to the Mussununga ecosystem’’; Fig. 4), Acacia acts as nurse plant in the early invasion stage in the Mussununga ecosystem, as supported by the higher native species richness in Acacia-focused plots than noninvaded ones (Meira-Neto et al. 2017). When at low density, Acacia possibly can benefit native species by ameliorating the stressed conditions in Mussununga, providing shade and increasing soil nitrogen and carbon contents (Marchante et al. 2009; Hellmann et al. 2011; Meira-Neto et al. 2017), thereby, facilitating the establishment of plants not adapted to stress conditions. For instance, Yang et al. (2009) found better physiological status and lower stress in shaded plants under A. mangium and A. auriculiformis canopies in China. We hypothesize that the positive effect of nitrogen addition and shading in the Mussununga should only occur up to a threshold of Acacia abundance. After becoming dominant, Acacia would outcompete the light-demanding species (Meira-Neto et al. 2017) and possibly favor their own seedlings (Rascher et al. 2011). This point of view is corroborated here by the positive relationship of the basal area of Acacia on the woody layer community and, contrarily, the statistical effect of the abundance of Acacia on the proportion of dead plants (Fig. 2d, e, f) and by the fact that the negative effects of invasion of Acacia species frequently take decades to appear (Koutika and Richardson 2019). The increase of biomass promoted by Acacia measured by total basal area and the total geometric mean of height (that is, including Acacia in the measurement) indicates a change in the vegetation structure of the Mussununga. Therefore, the gradient of vegetation types from grassland to woodland, limited by flooding, nutrient content in soil, and fire (Saporetti-Junior et al. 2012; Gastauer et al. 2017), is unbalanced by Acacia occurrence. Despite the negative effect on the native woody community, following Acacia invasion, the sandy-savanna Mussununga tends to become taller and more closed with consequent reduction of light availability and increase of nitrogen content. This trend is clearly related to the capacity of the Acacia species studied here to grow faster and taller than native plants from Mussununga, and even in the early stages of invasion this can already be detected using aerial images (Lehmann et al. 2017). Under this new environmental condition, the typical light-demanding species of Mussununga could be replaced by shade-tolerant ones or, in worse scenarios, by Acacia itself becoming a monodominant forest.",Low,"Many plots studied, which could lead to higher confidence, but no distinction made between two acacia spp. . Other disturbances are also at play",NA,NA,NA,"Heringer, G., Thiele, J., Meira-Neto, J.A.A. and Neri, A.V., 2019. Biological invasion threatens the sandy-savanna Mussununga ecosystem in the Brazilian Atlantic Forest. Biological Invasions, 21(6), pp.2045-2057.",EICAT_Acacia_auriculiformis_211122_IUCN_accept.xlsx
Acacia auriculiformis,NA,Thailand,Sakaerat,(1) Competition,MC - Minimal concern,Faster-growing exotic species accumulated larger amounts of understorey biomass than indigenous species. The most suitable species was Acacia mangium.,Low,"Comparison with natural forest shows lower diversity, but this is a restoration project and this comparison not useful in this context",NA,NA,Comparing planted monocultures of native and alien trees with degraded grasslands,"KAMO, K., VACHARANGKURA, T., TIYANON, S., VIRIYABUNCHA, C., NIMPILA, S. and DOANGSRISEN, B., 2002. Plant species diversity in tropical planted forests and implication for restoration of forest ecosystems in Sakaerat, Northeastern Thailand. Japan Agricultural Research Quarterly: JARQ, 36(2), pp.111-118.",EICAT_Acacia_auriculiformis_211122_IUCN_accept.xlsx
Acacia auriculiformis,NA,Brazil,"Aimorés, Minas Gerais State",(12) Indirect impacts through interactions with other species,MR - Major,"The Sorenson similarity index showed that the species composition was different especially between Natural forest and Acacia plantation (0.59: 25 species common to both sites) and M. urundeuva forest and Acacia plantation (0.68: 30 species common to both sites). The similarity index was higher between M. urundeuva forest and Natural forest (72%: 37 species common to both sites. Of the 68 recorded species, 23 were found exclusively in a specific study type with 12 species in M. urundeuva forest, nine in Natural forest and two in Acacia plantation (Appendix). The average number of bird species (per point) in M. urundeuva forests was twice the recorded number of species in Acacia plantation (Table 1). This result was similar for forest generalist and edge and open area bird species.",Low,"Comparing plantations with natural forest, different species composition, and less species in plantations of alien species. Two Acacia species present in plantation. Mechanism not clear.",NA,NA,NA,"Hernandes Volpato, G. and Venâncio Martins, S., 2013. The bird community in naturally regenerating Myracrodruon urundeuva (Anacardiaceae) forest in Southeastern Brazil. Revista de Biología Tropical, 61(4), pp.1585-1595.",EICAT_Acacia_auriculiformis_211122_IUCN_accept.xlsx
